B052	BARCLAYS BANK PLC	BB_F100_CALL_B_291018_GBX_	GB00B7CXYZ82	SDRV	Securitised derivatives			03/10/2012	29/10/2018	United Kingdom	GBX	MAIN MARKET	Standard Debt	INSD	OFIN
B053	BARCLAYS BANK PLC	BB_F100_CALL_B_051218_GBX_	GB00B7CXYQ91	SDRV	Securitised derivatives			01/11/2012	05/12/2018	United Kingdom	GBX	MAIN MARKET	Standard Debt	INSD	OFIN
04LC	CITIBANK N.A.	ALL ORDS IDX CITITRAK UTS	USY163613653	SDRV	Securitised derivatives			25/09/2000		United States	GBP	MAIN MARKET	Standard Debt	MISC	MWTS
05LC	CITIBANK N.A.	KUALA LUMPUR SE COMP IDX CITITRAK UTS	USY163614073	SDRV	Securitised derivatives			25/09/2000		United States	GBP	MAIN MARKET	Standard Debt	MISC	MWTS
06LC	CITIBANK N.A.	HANG SENG IDX CITITRAK UTS	USY163613737	SDRV	Securitised derivatives			25/09/2000		United States	GBP	MAIN MARKET	Standard Securitised Derivatives	MISC	MWTS
74JM	CITIBANK N.A.	CALL WTS RLTG CITIBK THAILAND REC.IDX	USY163614230	SDRV	Securitised derivatives			25/09/2000		United States	USD	MAIN MARKET	Standard Securitised Derivatives	MISC	MWTS
65QM	CREDIT ANDORRA PREFERENCE LTD	SER A CMS LKD NON-CUM PERP GTD PRF EUR	XS0238428584	SDRV	Securitised derivatives			23/12/2005	31/12/9999	Cayman Islands	EUR	PROFESSIONAL SECURITIES MARKET	Standard Debt	CWNU	NIOU
UK17	GOLDMAN SACHS INTERNATIONAL	GSIL_FX_CALL_E_220420_EUR_0	GB00B6KSMT82	SDRV	Securitised derivatives			01/08/2011	22/04/2020	United Kingdom	EUR	MAIN MARKET	Standard Securitised Derivatives	INSD	OFIN
GHEW	GRESHAM HOUSE PLC	WTS TO SUB FOR ORDS	GB00BPYP3515	SDRV	Securitised derivatives			01/12/2014		United Kingdom	GBX	AIM		ASQ1	AMQ1
GRIW	GROUND RENTS INCOME FUND PLC	WTS TO SUB FOR ORDS	GB00B8N43P05	SDRV	Securitised derivatives			13/08/2012		United Kingdom	GBX	ADMISSION TO TRADING ONLY		SSX3	SQNL
45CF	HSBC BANK PLC	MAWS LKD ORD A ZHEJIANG DAHUA 23/11/21	GB00BG64D641	SDRV	Securitised derivatives	CRPB	Corporate Bond	29/06/2018	23/11/2021	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CRTR	UIDR
47KV	HSBC BANK PLC	MAW LKD ORD A SHS 23/11/22	GB00BG64DD19	SDRV	Securitised derivatives	CRPB	Corporate Bond	24/07/2018	23/11/2022	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CRTR	UIDR
51HH	HSBC BANK PLC	MAW LKD ORDA SHS FOSHAN HAITIAN 23/11/22	GB00BG64DM00	SDRV	Securitised derivatives	CRPB	Corporate Bond	23/08/2018	23/11/2022	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CRTR	UIDR
10AN	HSBC BANK PLC	MAWS LKD ORD A SHRS ZHEJIANG 24/12/18	GB00BYWP9471	SDRV	Securitised derivatives			05/01/2016	24/12/2018	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
10BA	HSBC BANK PLC	MKT ACC WTS LKD ORD KWEICHOW 29/12/18	GB00BYSY7W20	SDRV	Securitised derivatives			06/01/2016	29/12/2018	United Kingdom	USD	MAIN MARKET	Standard Debt	CWTR	UIDW
10BK	HSBC BANK PLC	WTS LKD ORD SHS GREAT EAST.SHIP 13/10/23	GB00BFRT5B02	SDRV	Securitised derivatives			23/10/2013	13/10/2023	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
10EO	HSBC BANK PLC	WTS LKD ORD ADANI PORTS&SECO ZN 05/06/23	GB00BBH8D158	SDRV	Securitised derivatives			17/06/2013	05/06/2023	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
10EQ	HSBC BANK PLC	WTS LKD ORD HSIL 24/09/24	GB00BR17N876	SDRV	Securitised derivatives			07/10/2014	24/09/2024	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
10ID	HSBC BANK PLC	WRNTS LKD HWIN TECH CORP 26/07/2021	GB00B41DSG77	SDRV	Securitised derivatives			01/08/2011	26/07/2021	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
10IF	HSBC BANK PLC	MAWS LKD ORD SHS PTC INDIA 07/01/19	GB00BYQ0CQ18	SDRV	Securitised derivatives			13/01/2016	07/01/2019	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
10LH	HSBC BANK PLC	WTS LNKD A SHS GUANGZHOU FRND 11/08/21	GB00B56G5901	SDRV	Securitised derivatives			18/08/2011	11/08/2021	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
10OQ	HSBC BANK PLC	WTS LKD ORD A GUOSEN SEC 30/12/24	GB00BV0MCH30	SDRV	Securitised derivatives			09/01/2015	30/12/2024	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
10OZ	HSBC BANK PLC	WTS LKD ORD B CHINA MERC. 30/12/24	GB00BV0MCF16	SDRV	Securitised derivatives			09/01/2015	30/12/2024	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
10PP	HSBC BANK PLC	WTS LKD ORD A HUNAN MENDALE 27/07/21	GB00B53YPL99	SDRV	Securitised derivatives			03/08/2011	27/07/2021	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
10UP	HSBC BANK PLC	WTS LKD ORD HCL INFOSYSTEMS 17/08/21	GB00B3YYWC47	SDRV	Securitised derivatives			25/08/2011	17/08/2021	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
10XP	HSBC BANK PLC	WRTS LKD ORD A CHINA UTD 22/11/21	GB00B79M5Z51	SDRV	Securitised derivatives			28/11/2011	22/11/2021	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
10YN	HSBC BANK PLC	WRTS LKD ORD SHS BK INDIA 14/01/19	GB00B3KZXY03	SDRV	Securitised derivatives			02/12/2011	14/01/2019	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
10YO	HSBC BANK PLC	WRTS LKD ORD SHS MUNDRA PORT 19/08/19	GB00B3Y5HB10	SDRV	Securitised derivatives			02/12/2011	19/08/2019	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
10YP	HSBC BANK PLC	WRTS LKD ORD SHS TITAN INDS 07/07/20	GB00B43TD689	SDRV	Securitised derivatives			02/12/2011	07/07/2020	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
11BH	HSBC BANK PLC	WRNT LKD ORD SHS HUATAI SEC 06/03/25	GB00BWB93C25	SDRV	Securitised derivatives			13/03/2015	06/03/2025	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
11BU	HSBC BANK PLC	WRNT LKD ORD SHS CHINA CNR 06/03/2025	GB00BWB8YV54	SDRV	Securitised derivatives			13/03/2015	06/03/2025	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
11GP	HSBC BANK PLC	WTS LKD ORDS ADANI PTS&SPEC EZ 18/05/22	GB00B8G10R92	SDRV	Securitised derivatives			25/05/2012	18/05/2022	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
11IE	HSBC BANK PLC	WTS LKD ORD A SHS CHINA CNR 02/02/22	GB00B6Y1YW03	SDRV	Securitised derivatives			09/02/2012	02/02/2022	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
11JA	HSBC BANK PLC	WRNTS LKD ORDS RELIANCE IND 01/02/2022	GB00B7D2JL55	SDRV	Securitised derivatives			08/02/2012	01/02/2022	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
11MI	HSBC BANK PLC	WTS LKD A ORDS NEW CHINA LIFE 06/06/22	GB00B8L1VM68	SDRV	Securitised derivatives			13/06/2012	06/06/2022	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
11MJ	HSBC BANK PLC	WTS LKD ORDS SIMPLO TECH 06/06/22	GB00B8L1VJ30	SDRV	Securitised derivatives			13/06/2012	06/06/2022	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
11MK	HSBC BANK PLC	WTS LKD A ORDS CHINA COMMS 06/06/22	GB00B8L1WM34	SDRV	Securitised derivatives			13/06/2012	06/06/2022	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
11PT	HSBC BANK PLC	WTS LNKD A ORDS XIAMEN INT 20/09/21	GB00B4T4ZD80	SDRV	Securitised derivatives			26/09/2011	20/09/2021	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
11RA	HSBC BANK PLC	WRNTS LKD LONG AN FOOD CO 13/10/2021	GB00B71M2Y11	SDRV	Securitised derivatives			20/10/2011	13/10/2021	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
11SO	HSBC BANK PLC	WRNTS LKD ORDS MEGASTUDY 04/10/2021	GB00B590JN16	SDRV	Securitised derivatives			21/10/2011	04/10/2021	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
11SP	HSBC BANK PLC	WRNTS LKD ORDS GAMEVIL 04/10/2021	GB00B4MDN619	SDRV	Securitised derivatives			21/10/2011	04/10/2021	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
11SQ	HSBC BANK PLC	WRNTS LKD ORDS DONGBU 04/10/2021	GB00B708F291	SDRV	Securitised derivatives			21/10/2011	04/10/2021	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
11UI	HSBC BANK PLC	WRNTS LKD ORDS INDIAN BANK 18/10/2021	GB00B761Y143	SDRV	Securitised derivatives			25/10/2011	18/10/2021	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
11ZX	HSBC BANK PLC	WRNTS LKD ORDS COL-PALM IND 17/11/2021	GB00B6X62F52	SDRV	Securitised derivatives			24/11/2011	17/11/2021	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
12AC	HSBC BANK PLC	WRNTS LKD A SHS SHENZHEN 21/11/21	GB00B71SM055	SDRV	Securitised derivatives			29/11/2011	21/11/2021	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
12CF	HSBC BANK PLC	WRNTS LKD ORDS TATA 22/09/2021	GB00B5LBYF91	SDRV	Securitised derivatives			29/09/2011	22/09/2021	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
12HY	HSBC BANK PLC	WRNTS LKD KINSUS TECH 11/10/2021	GB00B71G4S19	SDRV	Securitised derivatives			18/10/2011	21/10/2021	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
12HZ	HSBC BANK PLC	WRNTS LKD CHINATRUST 11/10/2021	GB00B71G8T06	SDRV	Securitised derivatives			18/10/2011	21/10/2021	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
12IA	HSBC BANK PLC	WRNTS LKD CATHAY FIN 11/10/2021	GB00B5T15143	SDRV	Securitised derivatives			18/10/2011	21/10/2021	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
12IB	HSBC BANK PLC	WRNTS LKD MEDIA TEK 11/10/2021	GB00B71J9R43	SDRV	Securitised derivatives			18/10/2011	21/10/2021	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
12IC	HSBC BANK PLC	WRNTS LKD CHROME ATE 11/10/2021	GB00B71G4K33	SDRV	Securitised derivatives			18/10/2011	21/10/2021	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
12ID	HSBC BANK PLC	WRNTS LKD FORMOSA PLSTC 11/10/2021	GB00B5228374	SDRV	Securitised derivatives			18/10/2011	21/10/2021	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
12IE	HSBC BANK PLC	WRNTS LKD HTC 11/10/2021	GB00B3R5TD42	SDRV	Securitised derivatives			18/10/2011	21/10/2021	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
12IY	HSBC BANK PLC	WRNTS LKD BHARTI AIRTEL 19/05/2020	GB00B4JS1K95	SDRV	Securitised derivatives			01/12/2011	19/05/2020	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
12SE	HSBC BANK PLC	WRTS LKD PENNAR 10/05/22	GB00B7LXSM43	SDRV	Securitised derivatives			10/05/2012	10/05/2022	United Kingdom	EUR	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
12TA	HSBC BANK PLC	WRTS LKD JOEONE 09/05/22	GB00B58T1226	SDRV	Securitised derivatives			15/05/2012	09/05/2022	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
12TB	HSBC BANK PLC	WRTS LKD YUNNAN 09/05/22	GB00B4N8GT92	SDRV	Securitised derivatives			15/05/2012	09/05/2022	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
12UG	HSBC BANK PLC	WRTS LKD ORD A SHENZHEN 23/05/22	GB00B8J50Y59	SDRV	Securitised derivatives			30/05/2012	23/05/2022	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
12UN	HSBC BANK PLC	WRT LKD ORD SHS PHUOC HOA 24/05/22	GB00B86R5C78	SDRV	Securitised derivatives			31/05/2012	24/05/2022	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
12WF	HSBC BANK PLC	MAWS LKD ORDS VINATI ORGANICS 21/01/19	GB00BYYCBC88	SDRV	Securitised derivatives			27/01/2016	21/01/2019	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
12WG	HSBC BANK PLC	WRTS LKD ORD A GREAT WALL 11/06/22	GB00B8GKVK66	SDRV	Securitised derivatives			18/06/2012	15/06/2031	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
12WH	HSBC BANK PLC	WRTS LKD ORD A YANTAI JEREH 11/06/22	GB00B8GKQ909	SDRV	Securitised derivatives			18/06/2012	15/06/2029	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
12WI	HSBC BANK PLC	WRTS LKD ORD A HENGYI PETRO 11/06/22	GB00B87Y3G70	SDRV	Securitised derivatives			18/06/2012	15/06/2030	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
13CV	HSBC BANK PLC	WTS LKD ORD OIL INDIA 07/07/23	GB00BC9SFM50	SDRV	Securitised derivatives			16/07/2013	07/07/2023	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
13DF	HSBC BANK PLC	WRTS LKD ORD A YANTAI 19/09/22	GB00B7GRHC43	SDRV	Securitised derivatives			26/09/2012	26/03/2019	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
13DG	HSBC BANK PLC	WRTS LKD ORD TECHNO ELEC/ENG 19/09/22	GB00B7G80959	SDRV	Securitised derivatives			26/09/2012	19/09/2022	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
13DL	HSBC BANK PLC	WRTS LKD ORD A CHONGQING MEI 20/09/22	GB00B829KN32	SDRV	Securitised derivatives			27/09/2012	20/09/2022	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
13DM	HSBC BANK PLC	WRTS LKD ORDS OPTO CIRCUITS 20/09/22	GB00B8GFLB25	SDRV	Securitised derivatives			27/09/2012	20/09/2022	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
13FG	HSBC BANK PLC	6 YR MAXI RC WRTS 19/10/18	GB00B84K8X05	SDRV	Securitised derivatives			02/11/2012	19/10/2018	United Kingdom	GBP	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
13GK	HSBC BANK PLC	WRTS LKD A SHS SUZHOU ANJIE 07/11/22	GB00B8YB7R07	SDRV	Securitised derivatives			13/11/2012	13/05/2019	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
13IU	HSBC BANK PLC	WTS LKD SINOHYDRO GRP 12/06/22	GB00B612S025	SDRV	Securitised derivatives			20/06/2012	12/06/2022	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
13IW	HSBC BANK PLC	WTS LKD JIANSU PHOE. 12/06/22	GB00B7K4LC97	SDRV	Securitised derivatives			20/06/2012	12/06/2022	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
13JC	HSBC BANK PLC	WTS LNKD ORDS PENNAR INDS 02/05/22	GB00B7J9RF04	SDRV	Securitised derivatives			09/05/2012	02/05/2022	United Kingdom	GBP	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
13KD	HSBC BANK PLC	WTS LKD A SHS MASTERWORK 16/08/22	GB00B82BSD56	SDRV	Securitised derivatives			23/08/2012	16/08/2022	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
13KE	HSBC BANK PLC	WTS LKD B SHS CHINA INTL MARINE 16/08/22	GB00B8HW3W70	SDRV	Securitised derivatives			23/08/2012	16/08/2022	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
13KG	HSBC BANK PLC	WTS LKD A SHS BEIJING WKW 16/08/22	GB00B6SRQ176	SDRV	Securitised derivatives			23/08/2012	16/08/2022	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
13NP	HSBC BANK PLC	WRNTS LKD ORDS KS OILS 11/04/2022	GB00B7HKG587	SDRV	Securitised derivatives			18/04/2012	11/04/2022	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
13PL	HSBC BANK PLC	MKT ACC NTS LKD ORD AL SORATAI 04/02/19	XS1361104893	SDRV	Securitised derivatives			04/02/2016	04/02/2019	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CRTR	UIDR
14KQ	HSBC BANK PLC	WTS LKD A ORD YGSOFT 31/08/22	GB00B7W89J24	SDRV	Securitised derivatives			07/09/2012	31/08/2022	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
14KT	HSBC BANK PLC	WTS LKD ORD STX PAN OCEAN 17/08/22	GB00B88W9Y09	SDRV	Securitised derivatives			07/09/2012	17/08/2022	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
14QB	HSBC BANK PLC	MKTACCWTS LNKD ORD SHS (HISAR) 01/02/19	GB00BYMM6928	SDRV	Securitised derivatives			11/02/2016	01/02/2019	United Kingdom	USD	MAIN MARKET	Standard Debt	CWTR	UIDW
14UC	HSBC BANK PLC	WTS LKD A ORDS AGRI. BK. CHINA 13/07/20	GB00B46BCW07	SDRV	Securitised derivatives			09/11/2012	09/11/2023	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
14UE	HSBC BANK PLC	WTS LKD A ORDS IN. MONGOLIA 04/11/19	GB00B57NFZ60	SDRV	Securitised derivatives			09/11/2012	09/11/2024	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
14UJ	HSBC BANK PLC	WTS LKD A ORDS ICICI BK LD 02/11/22	GB00B8J9MF23	SDRV	Securitised derivatives			09/11/2012	09/11/2022	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
14UL	HSBC BANK PLC	WTS LKD ORDS LARSEN & TOUBRO 02/11/2022	GB00B8RBL971	SDRV	Securitised derivatives			09/11/2012	09/11/2021	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
14WM	HSBC BANK PLC	WRTS LKD ORDS BK NINGBO 07/11/22	GB00B8BBD311	SDRV	Securitised derivatives			14/11/2012	07/11/2022	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
14YJ	HSBC BANK PLC	WTS LKD ORD A JIANGSU 07/08/23	GB00BCZQHM71	SDRV	Securitised derivatives			14/08/2013	07/08/2023	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
14ZG	HSBC BANK PLC	WTS LKD ORD OSWAL 07/08/23	GB00BCZQR728	SDRV	Securitised derivatives			14/08/2013	07/08/2023	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
15AR	HSBC BANK PLC	MRK ACC NTS LKD ORD MAROC TEL 26/02/19	XS1372165156	SDRV	Securitised derivatives			23/02/2016	26/02/2019	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CRTR	UIDR
15AS	HSBC BANK PLC	WTS LKD ORD A SHS SHANGHAI 08/08/23	GB00BCZTCW14	SDRV	Securitised derivatives			15/08/2013	08/08/2023	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
15AY	HSBC BANK PLC	WRTS LKD A SHS SHANGHAI INT AIR 14/12/22	GB00B88RG004	SDRV	Securitised derivatives			21/12/2012	14/12/2022	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
15BP	HSBC BANK PLC	WRTS LKD ORDS IL&FS TRANS NETS 19/12/22	GB00B9703406	SDRV	Securitised derivatives			24/12/2012	14/12/2018	United Kingdom	EUR	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
15BY	HSBC BANK PLC	WTS LKD ORD A SHS JIANGLING 09/08/23	GB00BCZW8006	SDRV	Securitised derivatives			16/08/2013	09/08/2023	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
